Question,Answer
What is AI?,AI stands for Artificial Intelligence.
What is Machine Learning?,Machine Learning is a branch of AI that enables computers to learn from data.
What is Deep Learning?,Deep Learning is a subset of Machine Learning using neural networks.
What is Python?,Python is a high-level programming language.
Who developed Python?,Python was developed by Guido van Rossum.
What is NLP?,Natural Language Processing helps computers understand human language.
What is Computer Vision?,Computer Vision enables computers to analyze images and videos.
What is Data Science?,Data Science extracts useful information from data.
What is Streamlit?,Streamlit is a Python framework for creating web applications.
What is Pandas?,Pandas is a Python library for data analysis.
What is NumPy?,NumPy is a Python library for numerical computing.
What is Scikit-learn?,Scikit-learn is a machine learning library in Python.
What is OpenCV?,OpenCV is an image and video processing library.
What is ChatGPT?,ChatGPT is an AI chatbot developed by OpenAI.
What is IoT?,IoT stands for Internet of Things.
What is Cloud Computing?,Cloud Computing provides computing services over the internet.
What is Cyber Security?,Cyber Security protects systems and networks from attacks.
What is SQL?,SQL is a language used to manage databases.
What is a Database?,A database is an organized collection of data.
What is an Algorithm?,An algorithm is a step-by-step procedure for solving a problem.
What is a Variable?,A variable stores data in a program.
What is a Loop?,A loop repeats a block of code multiple times.
What is a Function?,A function is a reusable block of code.
What is an Operating System?,An operating system manages computer hardware and software.
What is Git?,Git is a version control system.
What is GitHub?,GitHub is a platform for hosting Git repositories.
What is HTML?,HTML is used to create web pages.
What is CSS?,CSS is used to style web pages.
What is JavaScript?,JavaScript adds interactivity to websites.
What is API?,An API allows different software applications to communicate.